,US Dollar,1.00 USD,inv. 1.00 USD
0,Argentine Peso,136.94743,0.0073019999999999995
1,Australian Dollar,1.448832,0.690211
2,Bahraini Dinar,0.376,2.659574
3,Botswana Pula,12.821282,0.07799500000000001
4,Brazilian Real,5.107996,0.195771
5,Bruneian Dollar,1.395008,0.716842
6,Bulgarian Lev,1.968675,0.5079560000000001
7,Canadian Dollar,1.298571,0.770077
8,Chilean Peso,916.469505,0.001091
9,Chinese Yuan Renminbi,6.867891,0.14560499999999998
10,Colombian Peso,4357.986715999999,0.000229
11,Croatian Kuna,7.561699000000001,0.132245
12,Czech Koruna,24.782401,0.040351
13,Danish Krone,7.487178,0.133562
14,Euro,1.0065680000000001,0.993475
15,Hong Kong Dollar,7.846699,0.127442
16,Hungarian Forint,413.95330099999995,0.002416
17,Icelandic Krona,140.225243,0.007131
18,Indian Rupee,79.834627,0.012526
19,Indonesian Rupiah,14857.813688,6.7e-05
20,Iranian Rial,42129.856536,2.4e-05
21,Israeli Shekel,3.2784800000000005,0.305019
22,Japanese Yen,136.72571399999998,0.007314
23,Kazakhstani Tenge,464.10914800000006,0.0021550000000000002
24,South Korean Won,1341.810978,0.000745
25,Kuwaiti Dinar,0.307836,3.248485
26,Libyan Dinar,4.926992,0.202964
27,Malaysian Ringgit,4.485467,0.222942
28,Mauritian Rupee,44.09879,0.022675999999999998
29,Mexican Peso,19.943531,0.050142
30,Nepalese Rupee,127.79527900000001,0.007825
31,New Zealand Dollar,1.617448,0.618258
32,Norwegian Krone,9.689364,0.10320599999999999
33,Omani Rial,0.38450300000000004,2.6007599999999997
34,Pakistani Rupee,219.252459,0.004561
35,Philippine Peso,56.041952,0.017844
36,Polish Zloty,4.799786,0.20834299999999997
37,Qatari Riyal,3.64,0.274725
38,Romanian New Leu,4.912928,0.203545
39,Russian Ruble,59.814212,0.016718
40,Saudi Arabian Riyal,3.75,0.266667
41,Singapore Dollar,1.395008,0.716842
42,South African Rand,17.031001999999997,0.058716
43,Sri Lankan Rupee,360.854237,0.002771
44,Swedish Krona,10.659261,0.093815
45,Swiss Franc,0.9632370000000001,1.038166
46,Taiwan New Dollar,30.282173999999998,0.033023000000000004
47,Thai Baht,36.138822999999995,0.027670999999999998
48,Trinidadian Dollar,6.789689999999999,0.147282
49,Turkish Lira,18.156891,0.055076
50,Emirati Dirham,3.6725,0.272294
51,British Pound,0.8481290000000001,1.179066
52,Venezuelan Bolivar,625361.206768,2e-06
